company_id,type,rule_id,text,confidence_pct
ABB,con,CF,Business should continue monitoring financial performance.,65
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ABB,pro,P5,Positive free cash flow indicates healthy cash generation.,84
ADANIENSOL,con,CF,Business should continue monitoring financial performance.,65
ADANIENSOL,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIENSOL,pro,P5,Positive free cash flow indicates healthy cash generation.,84
ADANIENT,con,CF,Business should continue monitoring financial performance.,65
ADANIENT,pro,PF,Business has stable operating performance.,65
ADANIGREEN,con,CF,Business should continue monitoring financial performance.,65
ADANIGREEN,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,con,CF,Business should continue monitoring financial performance.,65
ADANIPORTS,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,pro,P5,Positive free cash flow indicates healthy cash generation.,84
ADANIPOWER,con,CF,Business should continue monitoring financial performance.,65
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPOWER,pro,P5,Positive free cash flow indicates healthy cash generation.,84
AMBUJACEM,con,CF,Business should continue monitoring financial performance.,65
AMBUJACEM,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
APOLLOHOSP,con,CF,Business should continue monitoring financial performance.,65
APOLLOHOSP,pro,P5,Positive free cash flow indicates healthy cash generation.,84
ASIANPAINT,con,CF,Business should continue monitoring financial performance.,65
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ASIANPAINT,pro,P5,Positive free cash flow indicates healthy cash generation.,84
ATGL,con,CF,Business should continue monitoring financial performance.,65
ATGL,pro,PF,Business has stable operating performance.,65
AXISBANK,con,CF,Business should continue monitoring financial performance.,65
AXISBANK,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJ-AUTO,con,CF,Business should continue monitoring financial performance.,65
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJ-AUTO,pro,P5,Positive free cash flow indicates healthy cash generation.,84
BAJAJFINSV,con,CF,Business should continue monitoring financial performance.,65
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,con,CF,Business should continue monitoring financial performance.,65
BAJAJHLDNG,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJHLDNG,pro,P5,Positive free cash flow indicates healthy cash generation.,84
BAJFINANCE,con,CF,Business should continue monitoring financial performance.,65
BAJFINANCE,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJFINANCE,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BANKBARODA,con,CF,Business should continue monitoring financial performance.,65
BANKBARODA,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BEL,con,CF,Business should continue monitoring financial performance.,65
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BHARTIARTL,con,CF,Business should continue monitoring financial performance.,65
BHARTIARTL,pro,P3,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BHARTIARTL,pro,P5,Positive free cash flow indicates healthy cash generation.,84
BHEL,con,CF,Business should continue monitoring financial performance.,65
BHEL,pro,PF,Business has stable operating performance.,65
BOSCHLTD,con,CF,Business should continue monitoring financial performance.,65
BOSCHLTD,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BOSCHLTD,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BOSCHLTD,pro,P5,Positive free cash flow indicates healthy cash generation.,84
BPCL,con,CF,Business should continue monitoring financial performance.,65
BPCL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BPCL,pro,P5,Positive free cash flow indicates healthy cash generation.,84
BRITANNIA,con,CF,Business should continue monitoring financial performance.,65
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,P4,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
